"Topic","TimeWindow","Interdisciplinarity","Quantile"
"6","2006 - 2012",0.265557452686726,"1"
"7","1990 - 1995",0.208789562617694,"1"
"7","1996 - 2000",0.184233330875436,"1"
"7","2001 - 2005",0.178081983874783,"1"
"7","2006 - 2012",0.168357597750114,"1"
"8","1990 - 1995",0.131532981718335,"2"
"8","1996 - 2000",0.286520689072166,"2"
"8","2001 - 2005",0.25718916625697,"2"
"8","2006 - 2012",0.173095549312727,"2"
"9","1990 - 1995",0.224348592513197,"1"
"9","1996 - 2000",0.20976051946059,"1"
"9","2001 - 2005",0.214933284526029,"1"
"9","2006 - 2012",0.198507752467431,"1"
